{'C:\\\\DumpStack.log.tmp': {'R': False, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\oqiq81n-JOI_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\oqiq81n-JOI_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\oqiq81n-JOI_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\PxgOvmrqDkM_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\PxgOvmrqDkM_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\PxgOvmrqDkM_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\QDXOwomuLUM_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\QDXOwomuLUM_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\QDXOwomuLUM_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\t-TgqzGdumg_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\t-TgqzGdumg_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\t-TgqzGdumg_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\tSRigQdboHA_1.bytecode': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\tSRigQdboHA_1.js': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Local\\Packages\\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\\AC\\Microsoft\\ServiceWorkerFiles\\B6E778BF-8052-4344-A829-F85B1DB10BDB\\tSRigQdboHA_1.metadata': {'R': True, 'W': False}}
{'C:\\Users\\marco\\AppData\\Roaming\\Microsoft\\Installer\\{4460A893-EFF6-4B33-BF21-BAA2159F57E6}\\idle.exe': {'R': True, 'W': False}}
{'C:\\Users\\marco\\OneDrive\\Escritorio\\ransomware\\.git\\objects\\pack\\pack-8deef8dd19ee8fe6add56bf135875a04439370ef.idx': {'R': True, 'W': False}}
{'C:\\Users\\marco\\OneDrive\\Escritorio\\ransomware\\.git\\objects\\pack\\pack-8deef8dd19ee8fe6add56bf135875a04439370ef.pack': {'R': True, 'W': False}}
{'C:\\Users\\marco\\PycharmProjects\\Scribd\\.git\\objects\\pack\\pack-c78c5078a6317f034eaca952584ac1c0dfc3189e.idx': {'R': True, 'W': False}}
{'C:\\Users\\marco\\PycharmProjects\\Scribd\\.git\\objects\\pack\\pack-c78c5078a6317f034eaca952584ac1c0dfc3189e.pack': {'R': True, 'W': False}}
{'C:\\Users\\marco\\Searches\\Everywhere.search-ms': {'R': True, 'W': False}}
{'C:\\Users\\marco\\Searches\\Indexed Locations.search-ms': {'R': True, 'W': False}}
{'C:\\Windows\\WindowsShell.Manifest': {'R': True, 'W': False}}
{'C:\\Windows\\assembly\\PublisherPolicy.tme': {'R': True, 'W': False}}
{'C:\\Windows\\assembly\\pubpol36.dat': {'R': True, 'W': False}}
{'C:\\Windows\\Fonts\\fms_metadata.xml': {'R': True, 'W': False}}
{'C:\\Windows\\Fonts\\StaticCache.dat': {'R': True, 'W': False}}
{'C:\\Windows\\Globalization\\ICU\\icudtl.dat': {'R': True, 'W': False}}
{'C:\\Windows\\Globalization\\ICU\\metaZones.res': {'R': True, 'W': False}}
{'C:\\Windows\\Globalization\\ICU\\timezoneTypes.res': {'R': True, 'W': False}}
{'C:\\Windows\\Globalization\\ICU\\windowsZones.res': {'R': True, 'W': False}}
{'C:\\Windows\\Globalization\\ICU\\zoneinfo64.res': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\concrt140.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\msvcp140.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\msvcp140_1.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\msvcp140_2.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\vccorlib140.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\vcruntime140.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\00006109E70000000100000000F01FEC\\16.0.13628\\vcruntime140_1.dll_x64': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\concrt140.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\msvcp140.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\msvcp140_1.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\msvcp140_2.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\vccorlib140.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\57451E932F32D54398775BCD749AE462\\14.15.26706\\vcruntime140.dll': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\6E5EEB3C02BCB744787546343FDF9C8A\\3.3.490\\F_CENTRAL_msvcp100_x64.1C11561A_11CB_36A7_8A47_D7A042055FA7': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\$PatchCache$\\Managed\\6E5EEB3C02BCB744787546343FDF9C8A\\3.3.490\\F_CENTRAL_msvcr100_x64.1C11561A_11CB_36A7_8A47_D7A042055FA7': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{3A5141D4-47DB-4302-9B1C-272BE585BC8A}\\hpicon.ico': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{3A5141D4-47DB-4302-9B1C-272BE585BC8A}\\HPlogo_blue.ico': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{924D3ABC-FC75-4042-9DDB-FB846A45848D}\\1033.MST': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{924D3ABC-FC75-4042-9DDB-FB846A45848D}\\ARPPRODUCTICON.exe': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{A8F42E56-8D1F-4080-BD79-8375D3AD18BE}\\IconVirtualBox': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{C3BEE5E6-CB20-447B-8757-6443F3FDC9A8}\\ARPPRODUCTICON.exe': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{C3BEE5E6-CB20-447B-8757-6443F3FDC9A8}\\NewShortcut1_3999E1EC94534A0F876DC3AEE8B591EF.exe': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{C3BEE5E6-CB20-447B-8757-6443F3FDC9A8}\\NewShortcut2_0C7E4F25CDAB41A781F495034874D2DE.exe': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{C3BEE5E6-CB20-447B-8757-6443F3FDC9A8}\\NewShortcut8_73290E9A2A1D40C3B0741074F3BA3997.exe': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{E45E56A4-FCDD-4C4A-966A-4FB81C932219}\\ARPIcon': {'R': True, 'W': False}}
{'C:\\Windows\\Installer\\{E5B9C3E5-889C-4F22-A959-F4B8465D8876}\\IconFile1_express_vpn.ico': {'R': True, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-16_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-16_altform-unplated_contrast-white.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-20_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-20_altform-unplated_contrast-white.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-24_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-24_altform-unplated_contrast-white.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-256_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-256_altform-unplated_contrast-white.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-30_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-30_altform-unplated_contrast-white.png': {'R': False, 'W': False}}
{'C:\\Windows\\servicing\\LCU\\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.746.1.6\\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\\f\\new360videossquare44x44logo.targetsize-32_altform-unplated_contrast-black.png': {'R': False, 'W': False}}
